Zone,RhinoCount,PoachingIncidents,RangerPatrolFreq,CameraSurveillance,WaterSources,TouristActivity
Zone 3,3,0,9.364705688183568,1,2,50
Zone 1,5,1,7.963567415722568,1,1,61
Zone 5,8,1,5.608277159710449,0,1,33
Zone 10,4,0,9.80285800453215,1,2,61
Zone 7,3,1,4.716656356521219,0,3,72
Zone 7,8,0,6.246599140192869,1,4,53
Zone 9,6,1,6.5873703927613425,1,1,40
Zone 10,8,0,8.210447402036511,1,3,52
Zone 10,3,1,9.230866594762269,1,2,40
Zone 3,3,0,9.105583113805427,0,4,37
Zone 7,5,0,7.447496639148612,1,4,60
Zone 1,11,0,6.439461791072866,0,1,47
Zone 4,7,1,3.3480315167447396,1,4,68
Zone 4,4,1,4.371708291089567,1,4,43
Zone 5,3,1,10.533310978582872,1,4,44
Zone 7,8,1,3.3278560249949214,0,4,41
Zone 7,8,0,5.431018713515781,1,2,33
Zone 4,3,0,9.289212564100179,0,3,62
Zone 7,3,0,7.419426598394734,0,2,82
Zone 3,6,0,8.856090142011384,1,2,44
Zone 6,2,0,8.085656702541353,1,1,39
Zone 2,7,0,9.939165074721773,1,4,38
Zone 10,5,0,7.59085457312977,0,2,39
Zone 9,5,0,8.326895458303023,0,4,74
Zone 5,6,0,5.551506935883319,1,2,39
Zone 6,1,0,8.172665951156274,1,2,41
Zone 4,10,1,6.207747804021542,0,1,31
Zone 10,2,0,6.093788264038575,1,3,54
Zone 7,5,1,8.789447029294275,1,3,48
Zone 9,4,0,8.803246752118728,1,2,32
Zone 7,5,0,10.376884311492262,1,1,36
Zone 1,4,0,10.246526370972402,1,4,72
Zone 1,5,0,8.834630322717551,1,4,50
Zone 9,6,0,3.559108779526575,1,2,51
Zone 9,1,0,10.655361965899392,0,3,51
Zone 4,3,0,8.835935341332725,1,1,70
Zone 9,2,0,5.468279819827394,1,3,34
Zone 3,5,0,8.457818311125564,1,4,44
Zone 7,4,0,4.925468518074544,0,3,47
Zone 6,7,0,8.237260240219484,1,4,24
Zone 8,7,0,4.367459917851802,1,1,36
Zone 9,2,1,5.383563182426727,0,1,65
Zone 5,6,0,8.419858258401053,1,2,61
Zone 1,7,0,9.145773485985787,1,2,64
Zone 3,2,1,7.65087371886762,0,3,41
Zone 10,7,0,6.4276627266240585,1,1,43
Zone 8,5,0,2.770267409966019,1,1,23
Zone 6,7,0,6.58195780069728,1,2,63
Zone 8,6,0,8.066970153649056,0,4,66
Zone 9,5,0,6.366469788128706,0,3,66
Zone 4,6,1,6.954844117811164,1,3,74
Zone 1,5,0,6.628765064164158,0,2,56
Zone 1,4,0,6.356587564357133,1,1,73
Zone 10,7,0,7.151754779919625,0,2,46
Zone 4,1,0,6.454610835695079,0,2,23
Zone 7,8,0,9.886579107263884,0,2,62
Zone 2,4,0,2.5871623032325344,1,2,22
Zone 3,5,0,5.908314828057845,1,4,52
Zone 1,3,0,5.259487552965549,0,4,64
Zone 5,7,0,7.43822120006882,0,1,54
Zone 1,2,0,7.1542895717662525,0,2,84
Zone 8,5,1,10.244386203098857,1,4,20
Zone 1,10,0,10.90228409659559,1,1,48
Zone 1,7,0,5.453833088859038,1,2,50
Zone 2,7,0,7.001000130067259,1,3,29
Zone 2,10,0,7.392608833848711,1,4,32
Zone 6,1,0,5.4043725033253285,0,1,37
Zone 7,5,0,8.256764072075246,1,3,33
Zone 5,3,0,6.520985262470111,0,2,48
Zone 1,8,1,4.864730298798044,0,2,40
Zone 1,7,0,6.440863391466914,1,2,54
Zone 3,3,0,5.004650854518703,1,4,59
Zone 2,1,1,9.073293658838512,1,1,58
Zone 5,5,1,10.80311851022734,1,3,43
Zone 10,3,1,7.489638747789079,1,1,54
Zone 6,6,0,7.222553536106552,0,4,65
Zone 7,3,0,7.304869533748372,1,1,56
Zone 4,4,0,9.36446805787663,1,4,77
Zone 7,5,0,9.321398007194366,1,2,64
Zone 8,8,0,6.7686928629035386,1,3,75
Zone 1,7,0,7.5051798547581825,0,2,12
Zone 6,5,1,8.305292814354157,1,1,51
Zone 8,4,0,4.7246250868985324,1,2,45
Zone 5,6,1,9.425216474840912,0,3,48
Zone 4,8,0,10.469663782454456,1,2,37
Zone 2,4,0,9.330064209678914,1,3,55
Zone 6,3,0,4.50881217677089,1,3,22
Zone 6,2,0,3.0599990891622517,1,2,56
Zone 1,3,0,8.417437347035863,0,4,38
Zone 9,9,0,5.479621102075827,0,1,42
Zone 6,5,1,7.574266708245972,0,4,56
Zone 3,4,0,10.070297440015096,1,4,51
Zone 4,7,0,5.68608964720318,0,2,65
Zone 4,8,0,6.24489068718208,0,1,35
Zone 3,4,0,7.553445945176632,1,1,48
Zone 10,4,0,4.404980720035539,1,4,63
Zone 3,8,0,5.484287607988247,1,2,55
Zone 3,5,0,7.049715007502538,0,1,56
Zone 4,5,0,6.399090262364497,0,4,66
Zone 7,6,0,8.216815507598453,0,1,43
Zone 4,7,0,12.531959228878534,1,2,40
Zone 9,2,0,7.198276678836249,1,2,58
Zone 1,1,0,5.316576107923982,1,2,47
Zone 8,7,0,9.83648070951513,0,1,66
Zone 7,5,0,3.8223630493595575,1,3,55
Zone 2,4,0,4.222183657941786,0,1,40
Zone 8,4,1,5.809793122704553,0,3,55
Zone 1,3,0,6.434226558960749,1,2,36
Zone 9,8,1,5.761854526965583,1,4,64
Zone 9,7,1,6.936975351153954,0,3,29
Zone 2,1,0,7.54948380549269,0,2,68
Zone 7,2,0,9.137919070550275,1,2,54
Zone 10,4,0,7.182376547687564,0,3,47
Zone 3,6,0,5.876107504609797,0,4,61
Zone 7,4,0,9.029290772878824,0,2,57
Zone 10,6,0,5.364569048539739,0,3,69
Zone 9,8,0,3.734794508625354,0,4,69
Zone 4,7,1,9.411912035809085,1,4,55
Zone 1,5,0,9.283706489621943,0,2,36
Zone 2,2,0,5.4154032155917875,1,1,41
Zone 1,1,0,6.201802292358149,1,1,48
Zone 5,7,0,5.166144909340141,1,2,66
Zone 5,4,0,7.653248435130268,1,4,43
Zone 7,1,1,10.464098582736163,1,2,44
Zone 9,6,0,8.405763597190244,0,3,77
Zone 9,5,0,9.071449285166064,1,1,48
Zone 3,8,0,8.639456663382024,1,3,40
Zone 3,5,1,6.999761702881813,1,2,61
Zone 3,4,0,9.166680875822632,1,2,49
Zone 4,10,0,8.4900611258256,1,4,29
Zone 8,7,0,9.878891430306272,1,4,65
Zone 6,4,0,6.080902117676487,0,4,38
Zone 8,8,0,3.523776720909227,1,3,50
Zone 1,5,0,9.090502029746155,1,4,48
Zone 8,5,0,7.699539041212116,1,2,53
Zone 4,5,0,6.4079077993575275,0,4,17
Zone 1,2,1,6.519694375385018,1,1,44
Zone 8,3,0,12.109372651804232,0,4,66
Zone 4,4,0,5.715610694931458,0,3,68
Zone 6,9,0,5.293393386347334,1,1,35
Zone 8,0,0,7.170568466986704,0,1,63
Zone 4,5,1,9.360981755945922,1,1,38
Zone 3,5,0,11.556803973058456,0,3,44
Zone 9,5,0,8.314729926779142,1,2,45
Zone 3,5,0,4.45918251204114,0,4,51
Zone 9,4,0,10.941728541435598,0,1,65
Zone 2,9,0,6.961062601845806,0,1,53
Zone 2,6,0,5.32458113621006,0,1,48
Zone 2,2,0,4.8412150858012915,0,2,64
Zone 6,6,1,8.672657438670912,0,2,37
Zone 3,6,0,7.477658772372828,1,3,48
Zone 9,6,0,7.690150753891701,0,2,64
Zone 4,5,1,9.573006238143861,1,4,57
Zone 1,2,0,5.395690816980712,0,3,43
Zone 4,5,0,9.732309256547296,1,3,27
Zone 1,3,0,5.961685354412619,1,4,54
Zone 5,3,0,11.328014747824714,1,4,26
Zone 4,3,0,8.19747803198628,0,4,46
Zone 8,6,0,5.159522940447245,0,3,67
Zone 8,6,1,2.949163833359041,1,3,58
Zone 7,4,0,8.617849444558022,0,3,19
Zone 3,5,0,6.251639448019633,0,4,53
Zone 1,5,0,6.6888686109563285,0,4,45
Zone 1,7,0,8.532392018348215,0,1,30
Zone 3,5,0,9.02082765250131,0,2,55
Zone 6,3,0,9.447420681338581,1,1,42
Zone 7,4,1,4.6503173832341265,0,4,42
Zone 6,7,0,9.851789499249177,1,3,51
Zone 6,5,0,5.841909327663701,0,4,40
Zone 6,7,0,2.4875001305035465,0,2,51
Zone 3,8,0,4.6431193062799085,1,1,41
Zone 6,7,0,7.43605018426513,0,1,41
Zone 8,5,0,5.042371507837721,1,3,64
Zone 2,8,0,6.823911061647912,1,1,66
Zone 5,4,0,7.676504975058356,0,1,24
Zone 1,6,0,6.637229193781429,1,4,61
Zone 1,8,0,6.011291324286566,0,1,70
Zone 5,6,0,4.498607874023548,1,1,73
Zone 3,3,1,7.0438876164306645,0,1,57
Zone 4,8,0,2.8700852248305297,1,3,34
Zone 3,4,0,5.628003916561157,0,3,59
Zone 1,7,0,5.1444317818784775,1,4,36
Zone 1,2,0,6.52124629698217,1,1,44
Zone 5,10,0,6.573340401381461,1,3,55
Zone 6,6,0,8.91991334886749,1,3,37
Zone 3,4,0,10.166954554499199,1,4,32
Zone 9,5,1,4.76444231952606,1,2,56
Zone 5,6,0,10.985665250540059,0,1,78
Zone 8,4,0,5.441408800957136,0,3,68
Zone 1,5,0,7.34505356584618,0,4,60
Zone 5,6,1,8.021725978296635,0,4,64
Zone 3,3,0,11.889165505165012,0,4,59
Zone 1,7,0,5.915435324474672,1,3,56
Zone 4,7,0,3.4065239740438935,0,1,63
Zone 5,8,0,9.980758940385963,1,2,29
Zone 7,4,0,5.3332528824091305,0,1,52
Zone 1,7,1,6.2768228388488145,0,4,48
Zone 3,3,0,4.764500692147649,1,4,51
Zone 2,4,1,6.282592453902162,1,2,43
Zone 9,4,0,5.319216927589118,1,1,57
Zone 10,0,0,8.352883632989542,1,4,37
Zone 6,1,0,7.161583259443959,0,4,41
Zone 10,1,0,5.637889678770643,1,1,40
Zone 3,7,1,8.991743953317854,0,4,62
Zone 8,5,1,7.509993501349197,0,1,49
Zone 8,5,1,3.307903499111889,1,4,43
Zone 2,8,0,8.839406628168604,0,1,44
Zone 6,3,0,7.3697357677052695,0,2,50
Zone 7,5,0,9.781464975183084,1,4,74
Zone 2,3,1,7.24783485268529,1,2,31
Zone 10,5,0,5.41658129886481,0,4,60
Zone 2,1,0,6.591409333396326,0,4,57
Zone 10,7,0,8.607838661761441,0,3,36
Zone 1,2,0,5.458525880598275,0,1,72
Zone 8,4,1,6.119406425784883,1,2,58
Zone 1,6,0,6.556622840001865,0,2,42
Zone 9,7,0,4.701256779568254,1,2,22
Zone 6,9,0,5.487353150742851,0,1,53
Zone 7,4,0,7.34510038360838,1,3,49
Zone 10,1,0,9.404955495306016,0,2,34
Zone 7,4,0,7.63429396942095,1,1,34
Zone 10,6,1,6.9082774812619565,0,4,63
Zone 3,3,1,5.337458452095378,1,2,20
Zone 2,4,0,9.190320823440464,0,2,54
Zone 9,2,0,7.867010999893685,0,3,47
Zone 8,6,1,5.586540472961521,1,2,57
Zone 10,8,0,8.7972969173698,1,2,45
Zone 7,7,0,8.119154123020934,1,4,54
Zone 9,2,0,5.372939301267528,1,1,38
Zone 4,6,0,6.7972434874716,1,1,49
Zone 4,9,0,6.014454543514126,0,3,57
Zone 1,3,1,12.26707588006321,0,4,52
Zone 8,8,0,8.063489766251317,0,1,55
Zone 3,7,0,7.37352410969648,1,4,36
Zone 7,6,0,7.945326112153427,0,1,41
Zone 2,10,0,9.758325176394996,0,4,41
Zone 2,5,0,6.833239711123069,1,3,45
Zone 7,5,0,5.820181404268487,1,2,70
Zone 6,5,0,8.688566456194835,0,3,44
Zone 3,5,0,6.650110867997376,0,1,32
Zone 9,4,1,4.860209341838994,0,3,58
Zone 10,10,1,4.470627136487883,0,2,70
Zone 6,3,0,10.058593101679067,0,3,31
Zone 10,2,0,7.263289133838569,1,1,79
Zone 10,6,0,5.820865232015198,1,1,56
Zone 6,4,0,6.531330177915873,1,3,65
Zone 1,4,0,8.614889436016703,0,2,72
Zone 4,8,0,6.41318896831591,1,3,64
Zone 10,5,0,4.1011605416451635,0,2,48
Zone 6,4,1,7.651681704295849,1,4,68
Zone 6,7,1,9.416695635147127,1,2,53
Zone 5,4,1,9.2829286359445,0,4,66
Zone 1,2,0,5.88134012372551,0,3,67
Zone 8,2,0,9.538345312916759,1,2,33
Zone 5,3,0,7.425899947343246,0,4,61
Zone 5,3,0,9.482294687757454,1,4,47
Zone 7,8,0,8.147374060005108,0,4,52
Zone 4,6,0,3.956806314734661,1,1,51
Zone 6,0,0,10.493477875016692,0,3,51
Zone 4,8,1,7.103567702397907,0,4,72
Zone 3,5,0,8.153587647827635,1,2,29
Zone 7,4,0,4.311910743056312,0,4,24
Zone 8,5,0,8.01065300015613,0,1,21
Zone 4,7,0,9.20585546548532,0,3,66
Zone 2,6,0,10.870640673196808,0,1,38
Zone 10,3,0,9.800799589590564,0,1,51
Zone 3,4,0,8.10844940789208,0,1,48
Zone 1,2,0,3.9112452933032276,1,2,36
Zone 8,4,0,7.2645455809948425,0,3,62
Zone 3,1,0,5.814980869574139,1,3,48
Zone 10,9,0,7.4699557496324935,0,2,46
Zone 7,3,1,4.567348334409802,0,3,53
Zone 10,1,0,6.579666184416197,1,1,60
Zone 5,5,0,5.965633832387863,0,3,35
Zone 10,4,0,5.9036672880615075,1,2,63
Zone 5,6,1,5.923527628017691,0,1,71
Zone 7,5,1,6.728290567223511,1,2,28
Zone 9,8,0,7.572389518096044,1,4,54
Zone 5,5,0,2.003012824257098,1,1,45
Zone 1,7,1,2.247134287324273,1,1,60
Zone 10,4,0,6.322617320156249,1,3,31
Zone 10,1,0,6.604461910588771,0,1,74
Zone 1,5,0,7.378222433207881,0,2,25
Zone 2,4,1,5.544655290287552,1,3,46
Zone 6,3,1,7.018930388045363,0,4,56
Zone 9,2,0,7.25304641003611,0,2,39
Zone 8,12,0,5.530883806269057,1,4,37
Zone 5,5,0,9.026911643482201,0,4,53
Zone 1,10,0,7.353972622910121,1,4,51
Zone 7,6,1,8.09392219092658,1,1,50
Zone 5,1,0,7.137691462567705,1,2,62
Zone 6,6,0,11.20734620612344,1,2,44
Zone 7,2,0,8.192794138235307,0,1,54
Zone 3,4,0,6.02401336758555,0,3,42
Zone 10,5,0,8.641933768736802,1,4,37
Zone 3,8,0,3.7247901650866564,0,2,45
Zone 5,4,0,7.239200525334208,1,1,42
Zone 6,2,0,7.638320580183981,1,4,43
Zone 9,1,0,7.262041524157397,1,3,67
Zone 5,8,0,6.332442258322225,0,3,46
Zone 1,8,0,4.975453286325969,1,4,40
Zone 4,4,1,5.4213059758980755,1,3,50
Zone 5,1,1,7.2041498324947675,1,2,51
Zone 10,9,1,4.772961535144015,0,2,32
Zone 10,4,0,10.540335231294545,1,2,45
Zone 5,2,1,1.718204641312588,1,3,44
Zone 7,4,0,6.353124264910792,1,2,47
Zone 4,3,0,7.220779278215394,1,1,60
Zone 1,8,0,8.014841855666578,0,2,52
Zone 5,9,0,5.168150545475146,1,2,68
Zone 7,4,0,9.268589587776425,1,3,49
Zone 10,4,0,4.212337912374155,0,2,76
Zone 10,5,0,5.867742822784864,1,4,43
Zone 6,11,0,8.241495110558848,1,1,38
Zone 5,8,0,9.080377129585504,1,3,58
Zone 4,6,0,4.191997407237805,1,1,70
Zone 2,2,0,12.290073580830317,1,4,29
Zone 4,8,1,5.205016873665581,1,3,47
Zone 10,7,1,4.375635044944435,0,3,40
Zone 10,6,0,8.005429783546514,0,2,52
Zone 3,5,0,6.3034130928370855,1,1,50
Zone 10,3,0,6.007895374920511,1,4,70
Zone 1,5,1,8.19128811513944,1,4,48
Zone 8,3,0,3.9454086191443816,1,3,70
Zone 5,3,0,3.5957312000505954,0,2,45
Zone 4,7,0,5.805153269713544,1,3,63
Zone 8,4,0,9.15580347890665,0,3,53
Zone 7,4,0,5.891889413174432,1,3,75
Zone 2,6,1,10.198313369057228,1,3,27
Zone 1,6,0,9.402029522343781,0,4,32
Zone 4,3,0,7.5658923690149695,0,4,77
Zone 8,4,1,7.679447718749514,1,3,39
Zone 2,6,1,7.564005250033711,1,3,39
Zone 3,6,0,7.3194354573642,0,2,36
Zone 1,6,0,6.267516605043641,1,3,67
Zone 1,6,0,6.4996243335856745,1,4,31
Zone 3,3,1,4.860079686814836,1,1,50
Zone 5,5,0,2.57991442141964,1,4,46
Zone 3,2,1,9.2081412185641,1,2,65
Zone 1,5,0,7.3145168735705965,1,4,41
Zone 1,3,0,7.012422711243572,1,1,56
Zone 8,3,0,7.7968982457157585,1,3,32
Zone 10,5,0,5.343205090412702,0,1,84
Zone 2,11,0,4.997875573231134,1,3,46
Zone 3,7,0,6.4326306126436945,0,3,50
Zone 2,7,0,9.736196963527625,0,4,74
Zone 3,4,1,4.662517943013747,0,4,41
Zone 7,1,0,1.7458692863836678,0,4,75
Zone 1,4,0,5.957197816362495,1,2,43
Zone 10,5,0,9.285399832470366,0,4,60
Zone 8,4,0,3.5349119512912925,1,2,41
Zone 10,4,0,4.639432792354256,1,4,29
Zone 10,7,0,7.527093481156338,1,3,56
Zone 10,6,1,12.13981407095067,0,2,59
Zone 2,8,0,4.283576662947609,1,1,30
Zone 3,4,0,4.206131817064081,1,2,45
Zone 9,3,0,7.677396737678371,1,2,68
Zone 7,0,0,9.409348879987409,1,1,59
Zone 4,4,0,5.751802575348579,1,2,44
Zone 10,1,1,3.757211687755662,1,3,41
Zone 5,4,1,7.867498441772692,0,4,79
Zone 2,3,0,8.229682794605946,1,1,28
Zone 8,5,0,10.557310253076498,0,4,49
Zone 4,6,0,8.313894224648557,1,3,28
Zone 9,6,0,8.656132152744759,0,1,69
Zone 5,4,0,6.475709712264188,0,4,49
Zone 9,4,0,11.883008684338936,1,4,52
Zone 4,5,0,6.20371597882306,1,3,91
Zone 10,1,0,5.7761557571764595,0,4,41
Zone 5,9,0,10.619029837037214,1,3,76
Zone 9,7,0,4.05152544220918,1,2,44
Zone 8,5,0,3.30518323094417,0,3,46
Zone 3,4,0,7.239113849196969,1,2,89
Zone 1,5,1,6.996526953448609,0,1,47
Zone 3,4,0,6.544224036898676,1,4,29
Zone 4,1,0,8.987859514243304,1,3,54
Zone 2,3,0,5.183587635422859,0,3,47
Zone 1,7,1,7.128334251249348,1,4,55
Zone 7,6,0,6.279788094723626,0,4,47
Zone 8,10,0,5.217562999786498,1,1,83
Zone 7,4,0,6.876319832078633,1,1,58
Zone 5,5,0,8.705191606590205,1,3,33
Zone 1,6,1,11.241136240861003,0,1,51
Zone 7,6,0,8.158837965797938,0,2,38
Zone 7,8,1,1.978329997197097,0,1,46
Zone 9,4,1,6.923719829116703,0,1,36
Zone 3,3,1,7.099605581805665,1,3,81
